Year,Level,Code,Total,Value_added,Value_prod
2017,3,0941800,1050,11366038.61,30772825.00
2017,3,0960200,2348,31846235.88,83211147.02
2017,3,0961000,994,10450184.13,23593788.30
2017,3,0961600,1707,19562866.71,46958955.79
2017,3,0964700,1145,18034016.80,48427532.89
2017,3,0967101,2733,37061416.42,100296438.34
2017,3,0967300,611,7271287.68,16034594.30
2017,3,0980200,4287,64287311.77,170503169.57
2017,3,UNK,5677,130369015.03,394360193.39
2017,4,0010000,286548,4957678600.61,12196192460.58
2017,4,0050000,32273,354512470.84,861967869.17
2017,4,0090000,24571,389797699.34,972432430.36
2017,4,0110000,9063,118858691.94,321489630.72
2017,4,0130000,21163,341782248.14,825882990.69
2017,4,0170000,27303,393136918.00,966581278.08
2017,4,0210000,11277,134135656.02,332759658.20
2017,4,0250000,10318,157600375.74,400122866.98
2017,4,0270000,14574,274296836.75,701694317.67
2017,4,0320201,3007,58320776.03,156317645.30
2017,4,0320244,425,7826596.57,23436349.63
2017,4,0321007,627,9783114.06,31084668.96
2017,4,0321027,25,284340.75,770876.38
2017,4,0321050,315,4389680.27,12869346.86
2017,4,0321078,302,4403801.98,12707413.99
2017,4,0321080,305,5728099.94,17679738.96
2017,4,0321084,108,1236811.76,3088555.85
2017,4,0321086,147,1526941.51,5118015.69
2017,4,0321413,1179,17718853.11,42200288.04
2017,4,0321442,240,3774873.73,8725302.62
2017,4,0321458,233,3406755.98,8982251.90
2017,4,0321492,211,2954519.75,7345501.60
2017,4,0326146,357,4631555.71,12401745.33
2017,4,0326154,153,1662758.44,3880345.00
2017,4,0326160,1380,20790925.77,56266912.77
2017,4,0327166,334,3729904.59,11054799.41
2017,4,0327170,542,5340418.03,13926380.98
2017,4,0327174,122,1275583.60,3194033.50
2017,4,0327196,170,1820496.08,4811181.33
2017,4,0328200,1273,17800968.24,46787213.30
2017,4,0360201,2734,27480874.01,67440035.42
2017,4,0360242,463,6585425.88,14689360.32
2017,4,0360244,127,1670206.62,4950820.11
2017,4,0360252,106,1464850.24,3758364.22
2017,4,0360256,359,4074701.19,11252434.26
2017,4,0360258,160,1721201.92,3710990.78
2017,4,0360260,151,1954579.18,4633767.94
2017,4,0360264,47,360442.28,1017530.39
2017,4,0360268,224,1866505.21,4475986.95
2017,4,0360272,103,916073.25,2488994.24
2017,4,0360274,163,1316464.31,3112569.87
2017,4,0360276,91,966279.16,2391224.20
2017,4,0360280,144,1159261.14,2662414.80
2017,4,0360288,100,1620015.01,3777607.08
2017,4,0360294,114,1037923.75,2998778.62
2017,4,0360296,269,2747858.37,7633850.19
2017,4,0360805,310,2867733.82,7446633.88
2017,4,0360825,128,1291834.40,3589199.31
2017,4,0360848,309,2778391.96,8701753.39
2017,4,0360884,229,2230695.58,7691186.22
2017,4,0360890,210,3012198.23,7135352.21
2017,4,0380201,2378,20983993.98,46126619.26
2017,4,0380246,201,1599498.84,4072226.71
2017,4,0380248,120,1058019.51,2870776.59
2017,4,0380250,242,1909800.99,4626727.99
2017,4,0380252,152,1408940.08,2823649.52
2017,4,0380256,99,768440.11,2200234.23
2017,4,0380258,418,4068333.01,9802214.94
2017,4,0380266,58,371200.04,1056081.40
2017,4,0380286,297,2373974.42,5635614.73
2017,4,0380290,96,1088888.69,2483426.71
2017,4,0380294,155,1126561.65,2916615.40
